pno	dockind	pnyear	pndate	pnkind	authority	ti	appno	appyear	appdate	firstpriyear	priyear	prino	inventor	inventor-count	assignee	assignee-count	claims-count	independent-claims-count	total-references-cited-count	reference-count	citation-count	non-patent-count	ipc	cpc	app_gp	
US10724929B2	Grant	2020	2020-07-28	B2	US	Automated tissue sectioning and storage system	US15588636	2017	2017-05-06	2017	2017	US15588636__2017-05-06_national	US`Zhang Cong` ` ` ` ` ;US`Fasciano Mark` ` ` ` ` ;US`Mitra Partha P.` ` ` ` `	3	US`Clarapath, Inc.` `CLARAPATH`corporate` `	1	20	6	207	204	0	3	G01N 1/00;G01N 1/28	G01N 1/2813;G01N 2001/2833;G01N 1/00 ;G01N 1/06	US`CLARAPATH	
WO2020148585A1	Application	2020	2020-07-23	A1	WO	DETERMINING DRUG EFFECTIVENESS RANKING FOR A PATIENT USING MACHINE LEARNING	WO2019IB60507	2019	2019-12-06	2019	2019	US16248084__2019-01-15_national;US201916248084__2019-01-15_docdb;16/248,084___original;US201916248084___epodoc	US`EIFERT, Cheryl, Lynne`IBM Corporation, Almaden Research Center, Intellectual Property Law, 650 Harry Road, San Jose, California 95120-6099` ` ` ` ;US`XU, Jia`IBM Corporation, Almaden Research Center, Intellectual Property Law, 650 Harry Road, San Jose, California 95120-6099` ` ` ` ;US`HUETTNER, Claudia`IBM Corporation, 75 Binney Street, Cambridge, Massachusetts 02142-1123` ` ` ` ;US`WANG, Fang`IBM Corporation, 1177 South Belt Line Road, Coppell, Texas 75019-4642` ` ` ` ;US`MICHELINI, Vanessa`IBM Corporation, Almaden Research Center, Intellectual Property Law, 650 Harry Road, San Jose, California 95120-6099` ` ` ` ;US`DEHAN, Elinor`IBM Corporation, Almaden Research Center, Intellectual Property Law, 650 Harry Road, San JosE, California 95120-6099` ` ` `	6	US`INTERNATIONAL BUSINESS MACHINES CORPORATION` `INTERNATIONAL BUSINESS MACHINES`corporate`IBM` ;GB`IBM UNITED KINGDOM LIMITED` `IBM`corporate`IBM` ;CN`IBM (CHINA) INVESTMENT COMPANY LIMITED` `IBM CHINA INVESTMENT`corporate`IBM`	3	20	3	14	14	0	0	G01N 33/00	G16C 20/30;G16C 20/70;G16H 20/10;G16H 70/40;G16B 40/00;G16B 50/00;G16H 70/60	US`INTERNATIONAL BUSINESS MACHINES;GB`IBM UNITED KINGDOM;CN`IBM INVESTMENT	
US2020227176A1	Application	2020	2020-07-16	A1	US	DETERMINING DRUG EFFECTIVENESS RANKING FOR A PATIENT USING MACHINE LEARNING	US201916248084	2019	2019-01-15	2019	2019	US201916248084__2019-01-15_national	US`Eifert Cheryl L.` ` ` ` ` ;US`Xu Jia` ` ` ` ` ;US`Huettner Claudia S.` ` ` ` ` ;US`Wang Fang` ` ` ` ` ;US`Michelini Vanessa` ` ` ` ` ;IL`Dehan Elinor` ` ` ` `	6	US`International Business Machines Corporation` `INTERNATIONAL BUSINESS MACHINES`corporate`IBM`	1	20	6	0	0	0	0	G16H 70/40;G16B 40/00;G16B 50/00;G16H 70/60	G16C 20/30;G16C 20/70;G16H 20/10;G16H 70/40;G16B 40/00;G16B 50/00;G16H 70/60	US`INTERNATIONAL BUSINESS MACHINES	
US2020218719A1	Application	2020	2020-07-09	A1	US	AUTOMATED DOCUMENT FILTRATION WITH MACHINE LEARNING OF ANNOTATIONS FOR DOCUMENT SEARCHING AND ACCESS	US201916239931	2019	2019-01-04	2019	2019	US201916239931__2019-01-04_national	US`Eifert Cheryl L.` ` ` ` ` ;US`Wang Fang` ` ` ` ` ;US`Xu Jia` ` ` ` ` ;US`Beaty Kirk A.` ` ` ` ` ;US`Michelini Vanessa` ` ` ` ` ;US`Huettner Claudia S.` ` ` ` ` ;US`Sanchez-Martin Marta` ` ` ` ` ;US`Yang Pengwei` ` ` ` `	8	US`International Business Machines Corporation` `INTERNATIONAL BUSINESS MACHINES`corporate`IBM`	1	20	6	0	0	0	0	G06F 16/2458;G06F 16/2457;G06F 16/28;G06F 16/93;G06N 20/00	G06F 16/35;G06N 3/0454;G06N 3/08;G06N 5/046;G06N 20/00;G06F 16/24578;G06F 16/2465;G06F 16/285;G06F 16/93	US`INTERNATIONAL BUSINESS MACHINES	
KR20200080370A	Application	2020	2020-07-07	A	KR	DISEASE PREDICTION AND HEALTH MANAGEMENT SYSTEM USING INDIVIDUAL AND COHORT-BASED GENOME INFORMATION RELATING MOTION, AND METHOD USING THE SAME	KR20180162257	2018	2018-12-14	2018	2018	KR20180162257__2018-12-14_docdb;KR20180162257___epodoc	`JEON JEAN HONG`서울특별시 서초구 방배로 270 신삼호아파트 나동 1304` ` ` `	1	KR`JEIOS INC.` `JEIOS`corporate` `	1	5	2	2	2	0	0	G16H 50/20;G16B 40/00;G16H 10/60;G16H 50/30	G16B 40/00;G16H 10/60;G16H 50/20;G16H 50/30	KR`JEIOS	
JP6715482BB2	Grant	2020	2020-07-01	B2	JP	A method of inducing T-cell immunity from pluripotent stem cell therapy	JP20160534507	2015	2015-07-17	2014	2014;2015	US62026332__2014-07-18_national;US62026341__2014-07-18_national;JP2015070608__2015-07-17_docdb;US201462026332__2014-07-18_docdb;US201462026341__2014-07-18_docdb;62/026,332___original;62/026,341___original;JP2015070608___original;WO2015JP70608___epodoc;US201462026332P___epodoc;US201462026341P___epodoc	`金子  新`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`河本  宏`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`増田  喬子`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`南川  淳隆`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`堀田  秋津`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`島津  裕`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`一瀬  大志`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` `	7	`UNIV KYOTO` `UNIVERSITY OF KYOTO`university`KYOTO UNIVERSITY`	1	12	3	21	6	0	15	C12N 5/10;A61K 35/17;A61P 31/00;A61P 35/00;A61P 37/02;C12N 5/0735;C12N 5/0783;C12N 15/09	A61K 35/17;A61P 35/00;A61K 35/14;C12N 5/0638;C12N 5/0696;C12N 2501/515;C12N 2506/45;C12N 2510/00;C12N 5/10	KYOTO UNIVERSITY;サイアス 株式会社	
WO2020124157A1	Application	2020	2020-06-25	A1	WO	METHOD AND SYSTEM FOR GENERATING A SCHEDULE OF ACTIVITIES FOR AN AUTOMATED LABORATORY SYSTEM	WO2019AU51410	2019	2019-12-19	2018	2018	AU2018904862__2018-12-20_national;AU2018904862__2018-12-20_docdb;2018904862___original;AU20180904862___epodoc	AU`EDWARDS, Steven, John`20 Norwood Street, Sandringham, Victoria 3191` ` ` ` ;AU`ERNST, Andreas`3 Singer Avenue, Glen Waverley, Victoria 3150` ` ` `	2	AU`LEICA BIOSYSTEMS MELBOURNE PTY LTD` `LEICA BIOSYSTEMS`corporate`LEICA`	1	6	0	10	10	0	0	G01N 35/00;G06Q 10/04;G06Q 10/06	G01N 2035/0094;G06Q 10/06316;G16H 10/40;G01N 1/312;G01N 35/0092;G06Q 10/06311;G06Q 10/06315;G06Q 50/04	AU`LEICA BIOSYSTEMS MELBOURNE PTY	
DK3457842TT3	Grant	2020	2020-06-15	T3	DK	INSTALLATION TIL HÅNDTERING OG OPBEVARING AF BIOLOGISKE PRØVER VED MEGET LAVE TEMPERATURER	DK20170723123T	2017	2017-05-15	2016	2016;2017	FR16054373__2016-05-17_national;FR1654373__2016-05-17_docdb;EP2017061632__2017-05-15_docdb;1654373___original;EP2017061632___original;FR20160054373___epodoc;WO2017EP61632___epodoc	FR`PRIVAT DE FORTUNE, Matthieu` ` ` ` ` ;FR`MAROT GÉRARD` ` ` ` ` ;FR`CUNRATH, Aymeric` ` ` ` ` ;FR`BRIAND YOHAN` ` ` ` ` ;FR`TANG, Rattena` ` ` ` `	5	FR`Irelec` `IRELEC` ` `	1	15	0	0	0	0	0	A01N 1/02;G01N 1/42;G01N 35/00	A01N 1/0242;G01N 1/42;G01N 35/0099;A61B 10/0096;B01L 3/508;F25D 25/02;F25D 25/021;F25D 25/024;F25D 25/025;F25D 25/028;G01N 35/00732;G01N 2035/00752	FR`IRELEC	
US2020184006A1	Application	2020	2020-06-11	A1	US	AUTOMATED DOCUMENT FILTRATION WITH NORMALIZED ANNOTATION FOR DOCUMENT SEARCHING AND ACCESS	US201816214923	2018	2018-12-10	2018	2018	US201816214923__2018-12-10_national	US`Eifert Cheryl L.` ` ` ` ` ;US`Yang Pengwei` ` ` ` ` ;US`Xue Shang` ` ` ` `	3	US`International Business Machines Corporation` `INTERNATIONAL BUSINESS MACHINES`corporate`IBM`	1	20	6	0	0	0	0	G06F 17/24;G06F 17/22	G06F 40/242;G06F 40/284;G06F 40/295;G16B 50/10;G06F 40/157;G06F 40/169;G06F 40/194;G16B 50/00	US`INTERNATIONAL BUSINESS MACHINES	
US2020175021A1	Application	2020	2020-06-04	A1	US	AUTOMATED DOCUMENT FILTRATION AND PRIORITY SCORING FOR DOCUMENT SEARCHING AND ACCESS	US201816205915	2018	2018-11-30	2018	2018	US201816205915__2018-11-30_national	US`Eifert Cheryl Lynne` ` ` ` ` ;US`Sharma Bhuvan` ` ` ` ` ;US`Zhu Mengdi` ` ` ` ` ;US`Beaty Kirk Alan` ` ` ` ` ;US`Michelini Vanessa` ` ` ` ` ;US`Wang Fang` ` ` ` `	6	US`International Business Machines Corporation` `INTERNATIONAL BUSINESS MACHINES`corporate`IBM`	1	20	6	0	0	0	0	G06F 16/2457;G06F 16/28;G06F 16/93;G16H 50/70	G06F 16/24578;G06F 16/285;G06F 16/93;G16H 50/70	US`INTERNATIONAL BUSINESS MACHINES	
US2020175020A1	Application	2020	2020-06-04	A1	US	AUTOMATED DOCUMENT FILTRATION AND PRIORITIZATION FOR DOCUMENT SEARCHING AND ACCESS	US201816205800	2018	2018-11-30	2018	2018	US201816205800__2018-11-30_national	US`Eifert Cheryl Lynne` ` ` ` ` ;US`Dubbels Joel C.` ` ` ` ` ;US`Nowicki Jeffrey Bernard` ` ` ` ` ;US`Huettner Claudia S.` ` ` ` ` ;US`Xu Jia` ` ` ` ` ;US`Wang Fang` ` ` ` ` ;US`Beaty Kirk Alan` ` ` ` ` ;US`Michelini Vanessa` ` ` ` `	8	US`International Business Machines Corporation` `INTERNATIONAL BUSINESS MACHINES`corporate`IBM`	1	20	6	0	0	0	0	G06F 16/2457	G06F 16/24578;G06F 40/247;G06F 40/295;G06K 9/00469;G06K 2209/01	US`INTERNATIONAL BUSINESS MACHINES	
KR20200062414A	Application	2020	2020-06-04	A	KR	TEMPERATURE CONTROLLED SHORT DURATION ABLATION WITH MULTIPLE ELECTRODES	KR20180147061	2018	2018-11-26	2018	2018	KR20180147061__2018-11-26_docdb;KR20180147061___epodoc	`GOVARI ASSAF`이스라엘 2066717 요크님 피.오.박스 275 하트누파 스트리트 4` ` ` ` ;`ALTMANN ANDRES CLAUDIO`이스라엘 2066717 요크님 피.오.박스 275 하트누파 스트리트 4` ` ` ` ;`EPHRATH YARON`이스라엘 3707969 카르쿠르 트자프리림 30` ` ` `	3	IL`BIOSENSE WEBSTER (ISRAEL) LTD.` `BIOSENSE WEBSTER`corporate`BIOSENSE WEBSTER`	1	26	4	0	0	0	0	A61B 18/14;A61B 18/00;A61B 18/12	A61B 18/1492;A61B 18/1233;A61B 2018/22;A61B 2018/267;A61B 2018/577;A61B 2018/702;A61B 2018/708;A61B 2018/797;A61B 2018/875;A61B 2018/922;A61B 2018/1467	IL`BIOSENSE WEBSTER	
EP3170897B1	Grant	2020	2020-05-13	B1	EP	METHOD FOR INDUCING T CELLS FOR IMMUNOCYTOTHERAPY FROM PLURIPOTENT STEM CELLS	EP20150821273	2015	2015-07-17	2014	2014;2015	US62026332__2014-07-18_national;US62026341__2014-07-18_national;US201462026332__2014-07-18_docdb;US201462026341__2014-07-18_docdb;JP2015070608__2015-07-17_docdb;201462026332 P___original;201462026341 P___original;JP2015070608___original;US201462026332P___epodoc;US201462026341P___epodoc;WO2015JP70608___epodoc	JP`KANEKO, Shin`c/o Kyoto University 36-1 Yoshida-honmachi Sakyo-ku` ` ` ` ;JP`KAWAMOTO, Hiroshi`c/o Kyoto University 36-1 Yoshida-honmachi Sakyo-ku` ` ` ` ;JP`MASUDA, Kyoko`c/o Kyoto University 36-1 Yoshida-honmachi Sakyo-ku` ` ` ` ;JP`MINAGAWA, Atsutaka`c/o Kyoto University 36-1 Yoshida-honmachi Sakyo-ku` ` ` ` ;JP`HOTTA, Akitsu`c/o Kyoto University 36-1 Yoshida-honmachi Sakyo-ku` ` ` ` ;JP`SHIMAZU, Yutaka`c/o Kyoto University 36-1 Yoshida-honmachi Sakyo-ku` ` ` ` ;JP`ICHISE, Hiroshi`c/o Kyoto University 36-1 Yoshida-honmachi Sakyo-ku` ` ` `	7	JP`Kyoto University` `KYOTO UNIVERSITY`university`KYOTO UNIVERSITY` ;JP`Thyas Co. Ltd.` `THYAS`corporate` `	2	7	1	19	8	0	11	A61K 35/17;A61P 35/00;C12N 5/10	A61K 35/17;A61P 35/00;A61K 35/14;C12N 5/0638;C12N 5/0696;C12N 2501/515;C12N 2506/45;C12N 2510/00;C12N 5/10	JP`KYOTO UNIVERSITY;JP`THYAS	
KR102100510BB1	Grant	2020	2020-04-13	B1	KR	KNOCK-IN MOUSE HOMOLOGOUS RECOMBINATED BY BANK VOLE'S PRION PROTEIN GENE WHICH 109TH AMINO ACID IS METHIONINE AND APPLICATIONS THEREOF	KR20170145976	2017	2017-11-03	2017	2017	KR20170145976__2017-11-03_docdb;KR20170145976___epodoc	`전용필`서울특별시 동대문구` ` ` ` ;`류종석`경기도 안산시` ` ` `	2	KR`INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS` `INDUSTRY UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY`university`HANYANG UNIVERSITY`	1	8	11	0	0	0	0	A01K 67/027;C07K 14/47;C12N 15/85	A01K 67/278;C07K 14/47;C12N 15/8509;A01K 2217/72;A01K 2217/206;A01K 2227/105;A01K 2267/306;C12N 2015/8536	KR`SUNGSHIN WOMEN`S UNIVERSITY IND ACADEMIC COOPERATION FOUNDATION	
KR102100509BB1	Grant	2020	2020-04-13	B1	KR	KNOCK-IN MOUSE HOMOLOGOUS RECOMBINATED BY BANK VOLE'S PRION PROTEIN GENE WHICH 109TH AMINO ACID IS ISOLEUCINE AND APPLICATIONS THEREOF	KR20170145970	2017	2017-11-03	2017	2017	KR20170145970__2017-11-03_docdb;KR20170145970___epodoc	`전용필`서울특별시 동대문구` ` ` ` ;`류종석`경기도 안산시` ` ` `	2	KR`INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS` `INDUSTRY UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY`university`HANYANG UNIVERSITY`	1	8	11	0	0	0	0	A01K 67/027;C07K 14/47;C12N 15/85	A01K 67/278;C07K 14/47;C12N 15/8509;A01K 2217/72;A01K 2217/206;A01K 2227/105;A01K 2267/306;C12N 2015/8536	KR`SUNGSHIN WOMEN`S UNIVERSITY IND ACADEMIC COOPERATION FOUNDATION	
EP3111373B1	Grant	2020	2020-04-08	B1	EP	UNSUPERVISED TRAINING FOR AN ATLAS-BASED REGISTRATION	EP20150714930	2015	2015-02-17	2014	2014;2015	US61945292__2014-02-27_national;US201461945292__2014-02-27_docdb;IB2015051154__2015-02-17_docdb;201461945292 P___original;IB2015051154___original;US201461945292P___epodoc;WO2015IB51154___epodoc	NL`FRANZ, Astrid Ruth`c/o High Tech Campus Building 5` ` ` ` ;NL`SCHADEWALDT, Nicole`c/o High Tech Campus Building 5` ` ` ` ;NL`SCHULZ, Heinrich`c/o High Tech Campus Building 5` ` ` ` ;NL`BYSTROV, Daniel`c/o High Tech Campus Building 5` ` ` ` ;NL`VIK, Torbjoern`c/o High Tech Campus Building 5` ` ` `	5	NL`Koninklijke Philips N.V.` `KONINKLIJKE PHILIPS`corporate`PHILIPS`	1	19	1	6	2	0	4	G06K 9/20;G06K 9/62;G06T 7/32;G06T 7/35	G06K 9/6255;G06K 2009/2045;G06K 2209/05;G06T 2207/10081;G06T 2207/20076;G06T 2207/20081;G06T 2207/30004;G06T 7/35;G06T 7/32	NL`KONINKLIJKE PHILIPS ELECTRONICS	
US2020102614A1	Application	2020	2020-04-02	A1	US	METHOD FOR DETERMINING CROSS CONTAMINATION OF MOUSE GENES FOR HUMAN CELLS IN A PATIENT-DERIVED XENOGRAFT CELLS	US201916666449	2019	2019-10-29	2016	2016	KR1020160054458__2016-05-03_national	KR`CHOI Yoon La` ` ` ` ` ;KR`LEE Yun Su` ` ` ` `	2	`Abion Inc` `ABION`corporate` `	1	5	2	0	0	0	0	C12Q 1/6881	C12Q 1/6886;C12Q 2600/158;C12Q 1/6888;C12Q 1/6881	ABION	
